"";"siren";"siret";"activitePrincipaleUniteLegale";"trancheEffectifsEtablissement";"denominationUniteLegale";"categorieEntreprise";"typeVoieEtablissement";"libelleVoieEtablissement";"codePostalEtablissement";"libelleCommuneEtablissement"
"1105";"440687713";"44068771300048";"73.11Z";"12";"SEVANOVA";"PME";"MTE";"DE LA GRANDE COTE";"69001";"LYON 1ER"
"1106";"440689412";"44068941200037";"60.20B";"11";"WIAM";"PME";"RUE";"COGNACQ JAY";"75007";"PARIS 7"
"1107";"440719714";"44071971400030";"86.10Z";"21";"CLINIQUE CHATEAU CARADOC";"PME";"AV";"DU 14 AVRIL 1814";"64100";"BAYONNE"
"1108";"440766301";"44076630100012";"85.59A";"NN";"MANAGEMENT MARKETING EUROP";"PME";"";"LES TERRASSES DU PEYROU";"34070";"MONTPELLIER"
"1109";"440778785";"44077878500038";"94.99Z";"01";"COMITE REGIONAL DES ASSOCIATIONS DE JEUNESSE ET D EDUCATION POPULAIRE OCCITANIE";"PME";"AV";"DU MARCHE GARE";"34000";"MONTPELLIER"
"1110";"440811040";"44081104000086";"94.99Z";"11";"FACE HERAULT";"PME";"BD";"LEDRU ROLLIN";"34000";"MONTPELLIER"
"1111";"440811040";"44081104000102";"94.99Z";"03";"FACE HERAULT";"PME";"RUE";"ROBERT FABRE";"34080";"MONTPELLIER"
"1112";"440815595";"44081559500309";"78.20Z";"02";"ENTHALPIA SUD OUEST";"ETI";"AV";"DE CROUPILLAC";"30100";"ALES"
"1113";"440856938";"44085693800210";"71.12B";"21";"VALECO INGENIERIE";"ETI";"RUE";"MAURICE BEJART";"34080";"MONTPELLIER"
"1114";"440905131";"44090513100031";"79.11Z";"03";"FRENCH SIGNATURE TRAVEL & EVENTS";"PME";"RUE";"JEAN BONAL";"92250";"LA GARENNE-COLOMBES"
"1115";"440997005";"44099700500036";"63.91Z";"01";"15-LOVE";"PME";"BD";"DE LA REPUBLIQUE";"92210";"SAINT-CLOUD"
"1116";"441033222";"44103322200023";"93.12Z";"02";"MONTPELLIER CULTURE SPORT ADAPTE";"PME";"RUE";"ERNEST CASTAN";"34090";"MONTPELLIER"
"1117";"441133808";"44113380800077";"30.11Z";"42";"NAVAL GROUP";"GE";"";"TOULON NAVAL";"83000";"TOULON"
"1118";"441194255";"44119425500036";"70.22Z";"11";"OPERA FORMATION";"PME";"RUE";"DE LA GARRIGUETTE";"34130";"SAINT-AUNES"
"1119";"441196540";"44119654000039";"59.11C";"NN";"AETERNAM FILMS";"PME";"RUE";"DES VINAIGRIERS";"75010";"PARIS 10"
"1120";"441196789";"44119678900024";"59.11C";"00";"LES POISSONS VOLANTS";"PME";"RUE";"VISCONTI";"75006";"PARIS 6"
"1121";"441221298";"44122129800025";"87.10A";"22";"SOLEMNES";"ETI";"AV";"DU HUIT MAI 1945";"77176";"SAVIGNY-LE-TEMPLE"
"1122";"441338985";"44133898500076";"68.31Z";"12";"CAPI";"GE";"IMP";"ADAM SMITH";"34470";"PEROLS"
"1123";"441370319";"44137031900010";"46.90Z";"NN";"FRANCE DAY";"PME";"AV";"VICTOR HUGO";"75116";"PARIS 16"
"1124";"441497344";"44149734400016";"90.01Z";"NN";"NEON";"PME";"RUE";"BURDEAU";"69001";"LYON 1ER"
"1125";"441513447";"44151344700033";"71.12B";"02";"INNOV PR TRANSPORT ENVIRONNEMENT MOBIL";"PME";"RUE";"CLEMENT MAROT";"25000";"BESANCON"
"1126";"441518925";"44151892500058";"84.13Z";"12";"MISSION LOCALE GARRIGUE ET CEVENNES";"PME";"ALL";"EUGENE SAUMADE";"34270";"SAINT-MATHIEU-DE-TREVIERS"
"1127";"441584539";"44158453900031";"88.99B";"00";"RESEAU ACCUEIL INSERTION HERAULT (RAIH)";"PME";"RUE";"CASTILHON";"34000";"MONTPELLIER"
"1128";"441737798";"44173779800013";"90.01Z";"NN";"ASSOCIATION BRAQUAGE";"";"RUE";"REAUMUR";"75003";"PARIS 3"
"1129";"441783289";"44178328900024";"72.19Z";"03";"EAU CEA";"PME";"RUE";"PIERRE PAUL RIQUET";"31000";"TOULOUSE"
