"";"X.3";"X.2";"X.1";"X";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"wiki";"keywords";"keywords_wiki";"keywords_wiki_dbpedia"
"179";179;179;179;179;22110001900019;"CONSEIL DEPARTEMENTAL DE  L'AUDE";10;154,428571428572;"";"";NA;"";""
"180";180;180;180;180;26340015200017;"CENTRE HOSPITALIER DE LUNEL";10;190,857142857143;"";"";NA;"";""
"181";181;181;181;181;26840016500018;"CENTRE HOSPITALIER HENRI DUFFAUT";10;147,285714285714;"";"";NA;"";""
"182";182;182;182;182;31487181500093;"TRANSPORTS AGGLOMERATION DE MONTPELLIER";10;187;"";"";NA;"";""
"183";183;183;183;183;33149615800063;"SUD DE FRANCE DEVELOPPEMENT";10;168,714285714286;"https://sud-de-france.com";"";"";"";""
"184";184;184;184;184;33977442400164;"C.H.R.S REGAIN ADAGES";10;137;"";"";NA;"";""
"185";185;185;185;185;33977442400198;"E.E.A.P COSTE ROUSSE";10;48,9999999999999;"";"";NA;"";""
"186";186;186;186;186;40125156601103;"ORPEA";10;148,428571428571;"";"";NA;"";""
"187";187;187;187;187;40896742000014;"LIBRAIRIE AZIMUTS";10;72,1428571428572;"";"";NA;"";""
"188";188;188;188;188;42029300300026;"C-P PRODUCTION";10;79,2857142857143;"";"";NA;"";""
"189";189;189;189;189;42951889700013;"GEOMETRIE VARIABLE";10;144;"";"";NA;"";""
"190";190;190;190;190;43256446600014;"CALANDRETA CANDOLA";10;26,7142857142857;"";"";NA;"";""
"191";191;191;191;191;52422186800010;"ZENPRO";10;113,714285714286;"";"";NA;"";""
"192";192;192;192;192;77567227201890;"CROIX ROUGE FRANCAISE - INSTITUT MEDICO EDUCATIF MONTAURY";10;355;"";"";NA;"";""
"193";193;193;193;193;77600312100014;"INSTITUT MEDICO EDUCATIF LA PINEDE";10;188,857142857143;"";"";NA;"";""
"194";194;194;194;194;77618048100033;"CINEMATHEQUE EURO REGIONALE INSTITUT JEAN VIGO";10;70,5714285714286;"";"";NA;"";""
"195";195;195;195;195;80077182600024;"PAPER HAZE";10;53,7142857142857;"";"";NA;"";""
"196";196;196;196;196;80337983300020;"SARL MARNIE PRODUCTION- CINELOC MONTPELLIER";10;32,5714285714286;"";"";NA;"";""
"197";197;197;197;197;81951869700019;"OTUS PRODUCTIONS";10;28,2857142857143;"";"";NA;"";""
"198";198;198;198;198;NA;"EL-TRANSLATIONS";10;123,428571428571;"";"";NA;"";""
"199";199;199;199;199;NA;"OXFAM";10;57,2857142857143;"";"";NA;"";""
"200";200;200;200;200;19300002300013;"LYCEE JEAN BAPTISTE DUMAS";9;32;"";"";NA;"";""
